Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Total_Income,Income_to_Loan_Ratio,EMI,Risk_Category,Default_Probability,Predicted_Status,Predicted_Status_Label,Risk_Level,Money_At_Risk
LP001095,Male,No,0,Graduate,No,3167,0.0,74.0,360.0,1.0,Urban,0,3167.0,42.7972972972973,0.20555555555555555,Low Risk,0.2714880720490046,1,Approved,Low Risk,20.09011733162634
LP001097,Male,No,1,Graduate,Yes,4692,0.0,106.0,360.0,1.0,Rural,0,4692.0,44.264150943396224,0.29444444444444445,Low Risk,0.41837407092445444,1,Approved,Medium Risk,44.34765151799217
LP001098,Male,Yes,0,Graduate,No,3500,1667.0,114.0,360.0,1.0,Semiurban,1,5167.0,45.324561403508774,0.31666666666666665,Low Risk,0.11817943388104424,1,Approved,Low Risk,13.472455462439044
LP001100,Male,No,3+,Graduate,No,12500,3000.0,320.0,360.0,1.0,Rural,0,15500.0,48.4375,0.8888888888888888,Low Risk,0.2826121494648154,1,Approved,Low Risk,90.43588782874093
LP001106,Male,Yes,0,Graduate,No,2275,2067.0,128.0,360.0,1.0,Urban,1,4342.0,33.921875,0.35555555555555557,Low Risk,0.19929437985727272,1,Approved,Low Risk,25.509680621730908
LP001109,Male,Yes,0,Graduate,No,1828,1330.0,100.0,360.0,0.0,Urban,0,3158.0,31.58,0.2777777777777778,High Risk,0.9088530205589147,0,Rejected,High Risk,90.88530205589147
LP001112,Female,Yes,0,Graduate,No,3667,1459.0,144.0,360.0,1.0,Semiurban,1,5126.0,35.59722222222222,0.4,Low Risk,0.08761946485271588,1,Approved,Low Risk,12.617202938791086
LP001114,Male,No,0,Graduate,No,4166,7210.0,184.0,360.0,1.0,Urban,1,11376.0,61.82608695652174,0.5111111111111111,Low Risk,0.3769185777662062,1,Approved,Medium Risk,69.35301830898194
LP001116,Male,No,0,Not Graduate,No,3748,1668.0,110.0,360.0,1.0,Semiurban,1,5416.0,49.236363636363635,0.3055555555555556,Low Risk,0.2489352120505679,1,Approved,Low Risk,27.382873325562468
LP001119,Male,No,0,Graduate,No,3600,0.0,80.0,360.0,1.0,Urban,0,3600.0,45.0,0.2222222222222222,Low Risk,0.27237122406477154,1,Approved,Low Risk,21.789697925181724
LP001120,Male,No,0,Graduate,No,1800,1213.0,47.0,360.0,1.0,Urban,1,3013.0,64.1063829787234,0.13055555555555556,Low Risk,0.2904388461279913,1,Approved,Low Risk,13.650625768015592
LP001123,Male,Yes,0,Graduate,No,2400,0.0,75.0,360.0,1.0,Urban,1,2400.0,32.0,0.20833333333333334,Low Risk,0.17921128009879606,1,Approved,Low Risk,13.440846007409704
LP001131,Male,Yes,0,Graduate,No,3941,2336.0,134.0,360.0,1.0,Semiurban,1,6277.0,46.843283582089555,0.37222222222222223,Low Risk,0.12306849476987025,1,Approved,Low Risk,16.491178299162613
LP001136,Male,Yes,0,Not Graduate,Yes,4695,0.0,96.0,360.0,1.0,Urban,1,4695.0,48.90625,0.26666666666666666,Low Risk,0.2881983837770603,1,Approved,Low Risk,27.66704484259779
LP001137,Female,No,0,Graduate,No,3410,0.0,88.0,360.0,1.0,Urban,1,3410.0,38.75,0.24444444444444444,Low Risk,0.21427472970777328,1,Approved,Low Risk,18.856176214284048
LP001138,Male,Yes,1,Graduate,No,5649,0.0,44.0,360.0,1.0,Urban,1,5649.0,128.38636363636363,0.12222222222222222,Low Risk,0.23989659584875034,1,Approved,Low Risk,10.555450217345015
LP001144,Male,Yes,0,Graduate,No,5821,0.0,144.0,360.0,1.0,Urban,1,5821.0,40.423611111111114,0.4,Low Risk,0.18283207166940352,1,Approved,Low Risk,26.32781832039411
LP001146,Female,Yes,0,Graduate,No,2645,3440.0,120.0,360.0,0.0,Urban,0,6085.0,50.708333333333336,0.3333333333333333,High Risk,0.8957523959105337,0,Rejected,High Risk,107.49028750926404
LP001151,Female,No,0,Graduate,No,4000,2275.0,144.0,360.0,1.0,Semiurban,1,6275.0,43.576388888888886,0.4,Low Risk,0.14664675143384265,1,Approved,Low Risk,21.117132206473343
LP001155,Female,Yes,0,Not Graduate,No,1928,1644.0,100.0,360.0,1.0,Semiurban,1,3572.0,35.72,0.2777777777777778,Low Risk,0.12373654494247388,1,Approved,Low Risk,12.373654494247388
LP001157,Female,No,0,Graduate,No,3086,0.0,120.0,360.0,1.0,Semiurban,1,3086.0,25.716666666666665,0.3333333333333333,Low Risk,0.12668306342618996,1,Approved,Low Risk,15.201967611142795
LP001164,Female,No,0,Graduate,No,4230,0.0,112.0,360.0,1.0,Semiurban,0,4230.0,37.767857142857146,0.3111111111111111,Low Risk,0.12891354719188564,1,Approved,Low Risk,14.438317285491191
LP001179,Male,Yes,2,Graduate,No,4616,0.0,134.0,360.0,1.0,Urban,0,4616.0,34.44776119402985,0.37222222222222223,Low Risk,0.12137707569090495,1,Approved,Low Risk,16.264528142581263
LP001186,Female,Yes,1,Graduate,Yes,11500,0.0,286.0,360.0,0.0,Urban,0,11500.0,40.20979020979021,0.7944444444444444,High Risk,0.9179190048191866,0,Rejected,High Risk,262.5248353782874
LP001194,Male,Yes,2,Graduate,No,2708,1167.0,97.0,360.0,1.0,Semiurban,1,3875.0,39.94845360824742,0.26944444444444443,Low Risk,0.07442398392921301,1,Approved,Low Risk,7.219126441133662
LP001195,Male,Yes,0,Graduate,No,2132,1591.0,96.0,360.0,1.0,Semiurban,1,3723.0,38.78125,0.26666666666666666,Low Risk,0.11624640627368865,1,Approved,Low Risk,11.15965500227411
LP001197,Male,Yes,0,Graduate,No,3366,2200.0,135.0,360.0,1.0,Rural,0,5566.0,41.22962962962963,0.375,Low Risk,0.23606681244803407,1,Approved,Low Risk,31.869019680484598
LP001198,Male,Yes,1,Graduate,No,8080,2250.0,180.0,360.0,1.0,Urban,1,10330.0,57.388888888888886,0.5,Low Risk,0.25450838315070157,1,Approved,Low Risk,45.81150896712628
LP001199,Male,Yes,2,Not Graduate,No,3357,2859.0,144.0,360.0,1.0,Urban,1,6216.0,43.166666666666664,0.4,Low Risk,0.19574996938403877,1,Approved,Low Risk,28.187995591301583
LP001205,Male,Yes,0,Graduate,No,2500,3796.0,120.0,360.0,1.0,Urban,1,6296.0,52.46666666666667,0.3333333333333333,Low Risk,0.22136599745981578,1,Approved,Low Risk,26.563919695177894
LP001206,Male,Yes,3+,Graduate,No,3029,0.0,99.0,360.0,1.0,Urban,1,3029.0,30.595959595959595,0.275,Low Risk,0.13025497095097216,1,Approved,Low Risk,12.895242124146243
LP001207,Male,Yes,0,Not Graduate,Yes,2609,3449.0,165.0,180.0,0.0,Rural,0,6058.0,36.71515151515152,0.9166666666666666,High Risk,0.9571141401886784,0,Rejected,High Risk,157.92383313113191
LP001213,Male,Yes,1,Graduate,No,4945,0.0,128.0,360.0,0.0,Rural,0,4945.0,38.6328125,0.35555555555555557,High Risk,0.9358389967593407,0,Rejected,High Risk,119.7873915851956
LP001222,Female,No,0,Graduate,No,4166,0.0,116.0,360.0,0.0,Semiurban,0,4166.0,35.91379310344828,0.32222222222222224,High Risk,0.861517737643311,0,Rejected,High Risk,99.93605756662407
LP001225,Male,Yes,0,Graduate,No,5726,4595.0,258.0,360.0,1.0,Semiurban,0,10321.0,40.00387596899225,0.7166666666666667,Low Risk,0.1390941502824723,1,Approved,Low Risk,35.88629077287785
LP001228,Male,No,0,Not Graduate,No,3200,2254.0,126.0,180.0,0.0,Urban,0,5454.0,43.285714285714285,0.7,High Risk,0.9591827413233599,0,Rejected,High Risk,120.85702540674335
LP001233,Male,Yes,1,Graduate,No,10750,0.0,312.0,360.0,1.0,Urban,1,10750.0,34.455128205128204,0.8666666666666667,Low Risk,0.2248229595565393,1,Approved,Low Risk,70.14476338164026
LP001238,Male,Yes,3+,Not Graduate,Yes,7100,0.0,125.0,60.0,1.0,Urban,1,7100.0,56.8,2.0833333333333335,Low Risk,0.19170217324780747,1,Approved,Low Risk,23.962771655975935
LP001241,Female,No,0,Graduate,No,4300,0.0,136.0,360.0,0.0,Semiurban,0,4300.0,31.61764705882353,0.37777777777777777,High Risk,0.8609061837486084,0,Rejected,High Risk,117.08324098981075
LP001243,Male,Yes,0,Graduate,No,3208,3066.0,172.0,360.0,1.0,Urban,1,6274.0,36.47674418604651,0.4777777777777778,Low Risk,0.2106512541451837,1,Approved,Low Risk,36.232015712971595
LP001245,Male,Yes,2,Not Graduate,Yes,1875,1875.0,97.0,360.0,1.0,Semiurban,1,3750.0,38.65979381443299,0.26944444444444443,Low Risk,0.1308474981707417,1,Approved,Low Risk,12.692207322561945
LP001248,Male,No,0,Graduate,No,3500,0.0,81.0,300.0,1.0,Semiurban,1,3500.0,43.20987654320987,0.27,Low Risk,0.1624307963254754,1,Approved,Low Risk,13.156894502363508
LP001250,Male,Yes,3+,Not Graduate,No,4755,0.0,95.0,360.0,0.0,Semiurban,0,4755.0,50.05263157894737,0.2638888888888889,High Risk,0.8376142380254128,0,Rejected,High Risk,79.57335261241421
LP001253,Male,Yes,3+,Graduate,Yes,5266,1774.0,187.0,360.0,1.0,Semiurban,1,7040.0,37.64705882352941,0.5194444444444445,Low Risk,0.10192295590380318,1,Approved,Low Risk,19.059592754011195
LP001255,Male,No,0,Graduate,No,3750,0.0,113.0,480.0,1.0,Urban,0,3750.0,33.1858407079646,0.23541666666666666,Low Risk,0.28643152378576064,1,Approved,Low Risk,32.366762187790954
LP001256,Male,No,0,Graduate,No,3750,4750.0,176.0,360.0,1.0,Urban,0,8500.0,48.29545454545455,0.4888888888888889,Low Risk,0.3367286703958057,1,Approved,Medium Risk,59.2642459896618
LP001259,Male,Yes,1,Graduate,Yes,1000,3022.0,110.0,360.0,1.0,Urban,0,4022.0,36.56363636363636,0.3055555555555556,Low Risk,0.29369335174653743,1,Approved,Low Risk,32.30626869211912
LP001263,Male,Yes,3+,Graduate,No,3167,4000.0,180.0,300.0,0.0,Semiurban,0,7167.0,39.81666666666667,0.6,High Risk,0.8102467119528374,0,Rejected,High Risk,145.84440815151072
LP001264,Male,Yes,3+,Not Graduate,Yes,3333,2166.0,130.0,360.0,1.0,Semiurban,1,5499.0,42.3,0.3611111111111111,Low Risk,0.1452123957491931,1,Approved,Low Risk,18.8776114473951
LP001265,Female,No,0,Graduate,No,3846,0.0,111.0,360.0,1.0,Semiurban,1,3846.0,34.648648648648646,0.30833333333333335,Low Risk,0.1282990520892302,1,Approved,Low Risk,14.241194781904552
LP001266,Male,Yes,1,Graduate,Yes,2395,0.0,128.0,360.0,1.0,Semiurban,1,2395.0,18.7109375,0.35555555555555557,Medium Risk,0.5850136741303835,0,Rejected,Medium Risk,74.88175028868909
LP001267,Female,Yes,2,Graduate,No,1378,1881.0,167.0,360.0,1.0,Urban,0,3259.0,19.51497005988024,0.4638888888888889,Medium Risk,0.45936920567430917,1,Approved,Medium Risk,76.71465734760963
LP001273,Male,Yes,0,Graduate,No,6000,2250.0,265.0,360.0,1.0,Semiurban,0,8250.0,31.132075471698112,0.7361111111111112,Low Risk,0.12102048094428708,1,Approved,Low Risk,32.070427450236075
LP001275,Male,Yes,1,Graduate,No,3988,0.0,50.0,240.0,1.0,Urban,1,3988.0,79.76,0.20833333333333334,Low Risk,0.21467245948515024,1,Approved,Low Risk,10.733622974257512
LP001279,Male,No,0,Graduate,No,2366,2531.0,136.0,360.0,1.0,Semiurban,1,4897.0,36.00735294117647,0.37777777777777777,Low Risk,0.18950416498080924,1,Approved,Low Risk,25.772566437390058
LP001280,Male,Yes,2,Not Graduate,No,3333,2000.0,99.0,360.0,1.0,Semiurban,1,5333.0,53.86868686868687,0.275,Low Risk,0.11224846027587365,1,Approved,Low Risk,11.112597567311491
LP001282,Male,Yes,0,Graduate,No,2500,2118.0,104.0,360.0,1.0,Semiurban,1,4618.0,44.40384615384615,0.28888888888888886,Low Risk,0.12058255960212338,1,Approved,Low Risk,12.540586198620833
LP001289,Male,No,0,Graduate,No,8566,0.0,210.0,360.0,1.0,Urban,1,8566.0,40.79047619047619,0.5833333333333334,Low Risk,0.2756401458373806,1,Approved,Low Risk,57.88443062584993
LP001310,Male,Yes,0,Graduate,No,5695,4167.0,175.0,360.0,1.0,Semiurban,1,9862.0,56.354285714285716,0.4861111111111111,Low Risk,0.138528397364739,1,Approved,Low Risk,24.242469538829322
LP001316,Male,Yes,0,Graduate,No,2958,2900.0,131.0,360.0,1.0,Semiurban,1,5858.0,44.717557251908396,0.3638888888888889,Low Risk,0.1261791056549708,1,Approved,Low Risk,16.529462840801177
LP001318,Male,Yes,2,Graduate,No,6250,5654.0,188.0,180.0,1.0,Semiurban,1,11904.0,63.319148936170215,1.0444444444444445,Low Risk,0.09044938343915421,1,Approved,Low Risk,17.004484086560993
LP001319,Male,Yes,2,Not Graduate,No,3273,1820.0,81.0,360.0,1.0,Urban,1,5093.0,62.876543209876544,0.225,Low Risk,0.18907877867685174,1,Approved,Low Risk,15.31538107282499
LP001322,Male,No,0,Graduate,No,4133,0.0,122.0,360.0,1.0,Semiurban,1,4133.0,33.877049180327866,0.3388888888888889,Low Risk,0.16695253170600433,1,Approved,Low Risk,20.368208868132527
LP001325,Male,No,0,Not Graduate,No,3620,0.0,25.0,120.0,1.0,Semiurban,1,3620.0,144.8,0.20833333333333334,Low Risk,0.2180124156059423,1,Approved,Low Risk,5.450310390148558
LP001326,Male,No,0,Graduate,No,6782,0.0,128.0,360.0,1.0,Urban,0,6782.0,52.984375,0.35555555555555557,Low Risk,0.2771890402664027,1,Approved,Low Risk,35.48019715409954
LP001327,Female,Yes,0,Graduate,No,2484,2302.0,137.0,360.0,1.0,Semiurban,1,4786.0,34.934306569343065,0.38055555555555554,Low Risk,0.09146384468803892,1,Approved,Low Risk,12.530546722261333
LP001333,Male,Yes,0,Graduate,No,1977,997.0,50.0,360.0,1.0,Semiurban,1,2974.0,59.48,0.1388888888888889,Low Risk,0.11472616745547148,1,Approved,Low Risk,5.736308372773574
LP001334,Male,Yes,0,Not Graduate,No,4188,0.0,115.0,180.0,1.0,Semiurban,1,4188.0,36.417391304347824,0.6388888888888888,Low Risk,0.13433545477378417,1,Approved,Low Risk,15.44857729898518
LP001343,Male,Yes,0,Graduate,No,1759,3541.0,131.0,360.0,1.0,Semiurban,1,5300.0,40.458015267175576,0.3638888888888889,Low Risk,0.12949652103529463,1,Approved,Low Risk,16.964044255623598
LP001345,Male,Yes,2,Not Graduate,No,4288,3263.0,133.0,180.0,1.0,Urban,1,7551.0,56.774436090225564,0.7388888888888889,Low Risk,0.18443257818587322,1,Approved,Low Risk,24.52953289872114
LP001349,Male,No,0,Graduate,No,4843,3806.0,151.0,360.0,1.0,Semiurban,1,8649.0,57.27814569536424,0.41944444444444445,Low Risk,0.20838896208736324,1,Approved,Low Risk,31.46673327519185
LP001350,Male,Yes,0,Graduate,No,13650,0.0,128.0,360.0,1.0,Urban,1,13650.0,106.640625,0.35555555555555557,Low Risk,0.20102673741549792,1,Approved,Low Risk,25.731422389183734
LP001356,Male,Yes,0,Graduate,No,4652,3583.0,128.0,360.0,1.0,Semiurban,1,8235.0,64.3359375,0.35555555555555557,Low Risk,0.13468582878590385,1,Approved,Low Risk,17.239786084595693
LP001357,Male,Yes,0,Graduate,No,3816,754.0,160.0,360.0,1.0,Urban,1,4570.0,28.5625,0.4444444444444444,Low Risk,0.18630087316015964,1,Approved,Low Risk,29.808139705625543
LP001367,Male,Yes,1,Graduate,No,3052,1030.0,100.0,360.0,1.0,Urban,1,4082.0,40.82,0.2777777777777778,Low Risk,0.23223525798919264,1,Approved,Low Risk,23.223525798919265
LP001369,Male,Yes,2,Graduate,No,11417,1126.0,225.0,360.0,1.0,Urban,1,12543.0,55.74666666666667,0.625,Low Risk,0.1359314187771744,1,Approved,Low Risk,30.584569224864243
LP001370,Male,No,0,Not Graduate,No,7333,0.0,120.0,360.0,1.0,Rural,0,7333.0,61.108333333333334,0.3333333333333333,Low Risk,0.4082252261015622,1,Approved,Medium Risk,48.987027132187464
LP001379,Male,Yes,2,Graduate,No,3800,3600.0,216.0,360.0,0.0,Urban,0,7400.0,34.25925925925926,0.6,High Risk,0.8790366890065078,0,Rejected,High Risk,189.87192482540567
LP001384,Male,Yes,3+,Not Graduate,No,2071,754.0,94.0,480.0,1.0,Semiurban,1,2825.0,30.0531914893617,0.19583333333333333,Low Risk,0.11869359220135489,1,Approved,Low Risk,11.15719766692736
LP001385,Male,No,0,Graduate,No,5316,0.0,136.0,360.0,1.0,Urban,1,5316.0,39.088235294117645,0.37777777777777777,Low Risk,0.2724265137919355,1,Approved,Low Risk,37.05000587570323
LP001387,Female,Yes,0,Graduate,No,2929,2333.0,139.0,360.0,1.0,Semiurban,1,5262.0,37.856115107913666,0.3861111111111111,Low Risk,0.09209716553035519,1,Approved,Low Risk,12.80150600871937
LP001391,Male,Yes,0,Not Graduate,No,3572,4114.0,152.0,360.0,0.0,Rural,0,7686.0,50.56578947368421,0.4222222222222222,High Risk,0.9561068782697733,0,Rejected,High Risk,145.32824549700553
LP001392,Female,No,1,Graduate,Yes,7451,0.0,128.0,360.0,1.0,Semiurban,1,7451.0,58.2109375,0.35555555555555557,Low Risk,0.1953075088983709,1,Approved,Low Risk,24.999361138991475
LP001398,Male,No,0,Graduate,No,5050,0.0,118.0,360.0,1.0,Semiurban,1,5050.0,42.79661016949152,0.3277777777777778,Low Risk,0.16906278851875345,1,Approved,Low Risk,19.949409045212906
LP001401,Male,Yes,1,Graduate,No,14583,0.0,185.0,180.0,1.0,Rural,1,14583.0,78.82702702702703,1.0277777777777777,Low Risk,0.25314861266791555,1,Approved,Low Risk,46.83249334356438
LP001404,Female,Yes,0,Graduate,No,3167,2283.0,154.0,360.0,1.0,Semiurban,1,5450.0,35.38961038961039,0.42777777777777776,Low Risk,0.09164211106178899,1,Approved,Low Risk,14.112885103515504
LP001405,Male,Yes,1,Graduate,No,2214,1398.0,85.0,360.0,1.0,Urban,1,3612.0,42.49411764705882,0.2361111111111111,Low Risk,0.23609402367645704,1,Approved,Low Risk,20.06799201249885
LP001421,Male,Yes,0,Graduate,No,5568,2142.0,175.0,360.0,1.0,Rural,0,7710.0,44.05714285714286,0.4861111111111111,Low Risk,0.23781932864921018,1,Approved,Low Risk,41.618382513611785
LP001422,Female,No,0,Graduate,No,10408,0.0,259.0,360.0,1.0,Urban,1,10408.0,40.18532818532819,0.7194444444444444,Low Risk,0.2196407218642732,1,Approved,Low Risk,56.88694696284676
LP001426,Male,Yes,0,Graduate,No,5667,2667.0,180.0,360.0,1.0,Rural,1,8334.0,46.3,0.5,Low Risk,0.24450762484005972,1,Approved,Low Risk,44.01137247121075
LP001430,Female,No,0,Graduate,No,4166,0.0,44.0,360.0,1.0,Semiurban,1,4166.0,94.68181818181819,0.12222222222222222,Low Risk,0.13610811981870452,1,Approved,Low Risk,5.988757272022999
LP001431,Female,No,0,Graduate,No,2137,8980.0,137.0,360.0,0.0,Semiurban,1,11117.0,81.14598540145985,0.38055555555555554,High Risk,0.9199663014925356,0,Rejected,High Risk,126.03538330447738
LP001432,Male,Yes,2,Graduate,No,2957,0.0,81.0,360.0,1.0,Semiurban,1,2957.0,36.50617283950617,0.225,Low Risk,0.06933303902850652,1,Approved,Low Risk,5.615976161309028
LP001439,Male,Yes,0,Not Graduate,No,4300,2014.0,194.0,360.0,1.0,Rural,1,6314.0,32.54639175257732,0.5388888888888889,Low Risk,0.30718116916093674,1,Approved,Medium Risk,59.59314681722173
LP001443,Female,No,0,Graduate,No,3692,0.0,93.0,360.0,1.0,Rural,1,3692.0,39.69892473118279,0.25833333333333336,Low Risk,0.24918210263479534,1,Approved,Low Risk,23.173935545035967
LP001448,Male,Yes,3+,Graduate,No,23803,0.0,370.0,360.0,1.0,Rural,1,23803.0,64.33243243243243,1.0277777777777777,Low Risk,0.17336361217592688,1,Approved,Low Risk,64.14453650509294
LP001449,Male,No,0,Graduate,No,3865,1640.0,128.0,360.0,1.0,Rural,1,5505.0,43.0078125,0.35555555555555557,Low Risk,0.334834728481619,1,Approved,Medium Risk,42.85884524564723
LP001451,Male,Yes,1,Graduate,Yes,10513,3850.0,160.0,180.0,0.0,Urban,0,14363.0,89.76875,0.8888888888888888,High Risk,0.9482462020749971,0,Rejected,High Risk,151.71939233199953
LP001465,Male,Yes,0,Graduate,No,6080,2569.0,182.0,360.0,1.0,Rural,0,8649.0,47.52197802197802,0.5055555555555555,Low Risk,0.24401085137975365,1,Approved,Low Risk,44.40997495111516
LP001469,Male,No,0,Graduate,Yes,20166,0.0,650.0,480.0,1.0,Urban,1,20166.0,31.024615384615384,1.3541666666666667,Low Risk,0.341695390445671,1,Approved,Medium Risk,222.10200378968614
LP001473,Male,No,0,Graduate,No,2014,1929.0,74.0,360.0,1.0,Urban,1,3943.0,53.28378378378378,0.20555555555555555,Low Risk,0.29763845818019863,1,Approved,Low Risk,22.0252459053347
